SiteEnergyUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),GHGEmissions(MetricTonsCO2e)_log,SiteEnergyUse(kBtu)_log
6252842.0,208.46,2.37,5.344532790344999,15.64854679828604
4587231.0,170.0,2.51,5.14166355650266,15.338787350019942
1454222.0,35.17,0.56,3.5882300459640066,14.18998229532938
3880806.0,102.08,1.04,4.635505385784164,15.17155367966332
4341706.0,125.57,1.69,4.840795514804357,15.2837781467197
1472548.0,10.27,0.08,2.422144328051685,14.202505470694458
306721.0,3.71,0.02,1.5496879080283263,12.633697078863324
1655612.0,28.78,0.42,3.393837027255863,14.319681890964084
6043853.0,123.08,1.1,4.8209265188682835,15.614552445895047
2137686.0,56.97,0.98,4.059925635351641,14.575234961346547
2953338.0,112.06,2.19,4.727918651247145,14.898446952647205
6175812.0,77.8,0.55,4.366912996863833,15.636151091730937
5040382.0,126.83,1.6,4.8507012561799305,15.432992629223794
5086863.0,209.92,1.66,5.351478914662269,15.442172088633288
6722886.0,191.58,1.17,5.260511651812138,15.721028233337288
6014078.0,170.01,1.34,5.141722034324962,15.609613778460297
6915293.0,156.59,0.88,5.05999672363398,15.749246038446184
3106930.0,139.62,2.45,4.946061216771016,14.949145980210979
5276777.0,169.49,1.29,5.13867664397714,15.478826242145274
3504957.0,85.51,1.38,4.460260014192283,15.069689095497434
3979132.0,74.04,0.73,4.318021304697969,15.196574514334236
1074180.0,39.69,0.65,3.7059823620135983,13.887069068715613
3303553.0,45.83,0.44,3.8465240231954505,15.010509416617857
5061274.0,138.68,1.07,4.939354092091292,15.437128985807542
5570472.0,196.34,3.74,5.28492812942902,15.532990527508089
1857329.0,25.2,0.25,3.265759410767051,14.434650530524388
2303288.0,63.95,0.86,4.173617743116608,14.64984865942307
4439034.0,30.95,0.12,3.4641721808235437,15.305947568443795
2150120.0,14.99,0.1,2.771963526845863,14.581034677590006
5851209.0,211.49,1.55,5.358894928433641,15.582159035426928
